Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
ANGUS;Niño;Deportiva;blanco;35,99€;Si;35-36-37-38-39;47966-C50145;Material principal:Sintetico$Altura:3 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
MENTA;Niño;Deportivos;azul;35,99€;Si;32-33-34-36-37-38;48132-C50203;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones-Velcro$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
CAL;Niño;Deportiva;marron;35,99€;Si;26-28-29-30-31-32;48135-C50210;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones-Velcro$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
CAL;Niño;Deportiva;azul;35,99€;Si;25-26-27-28-29-30-31-32;48135-C50209;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones-Velcro$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
CASTY;Niño;Deportiva;azul;35,99€;Si;32-33-34-35-36-37-39;47971-C50156;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
FORZA;Niño;Deportiva;nude;34,99€;Si;31-36-38-39;47708-C43000;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
JOGGER;Niño;Deportiva;verde;35,99€;Si;25-26-28-30-31;47972-C50157;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
JOGGER;Niño;Deportiva;azul;35,99€;Si;25-26-28-29-30-31-32-33;47972-C50156;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
KALO;Niño;Deportiva;azul;34,50€;Si;37;47696ZU-C42914;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
KALO;Niño;Deportivas;cuero;34,50€;Si;38;47696ZU-C42915;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
ALICE;Niño;Deportiva;azul-gris;33,50€;Si;25-26;69119-C36824;Material principal:Sintetico$Altura:2 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:Sintético$Tipo de puntera:Redonda;
GAISI;Niño;Deportiva;azul;33,50€;Si;32-33-37-39;47446-C38807;Material principal:Sintetico$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda;
