Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros;
NEW PALAS;Mujer;Bota;negro;55,90€;Si;36-37-38-39-40-41;50275-C27784;Material principal:Sintetico$Forro:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Media;
NEW PALAS;Mujer;Botín;taupe;55,90€;Si;36-37-38-39-40-41;50275-C28595;Material principal:Sintetico$Forro:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Afilada$Tipo de caña:Media;
NEW PALAS;Mujer;Botín;negro;49,90€;Si;36-37-38-39-40;50276-C27784;Material principal:Textil$Altura:7 cm$Material de la suela:De goma$Tipo de tacón:Ancho$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
NEW PALAS;Mujer;Botín;marron;49,90€;Si;36-37-38-39-40-41;50276-C27834;Material principal:Textil$Altura:7 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media;
LEO;Mujer;Deportiva;marron;39,90€;Si;38;69441-034103;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda;
ARES;Mujer;BOTA;negro;99,99€;No;?;58964-C49742;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta;
SYRA;Mujer;Botín;marron;89,90€;Si;37-39-40;50347-C51437;Material principal:Serraje$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja;
SORI;Mujer;Botín;negro;45,99€;Si;38-40;58790-C47638;Material principal:Sintetico$Altura:4 cm$Material de la suela:PVC$Tipo de tacón:Plataforma$Tipo de cierre:Elástico$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja;
de lona 13991;Mujer;Deportivas;amarillo;23,99€;Si;38;13991-C49312;Material principal:Textil;
de lona;Mujer;Deportivas;verde;23,99€;Si;36-38-40;13991-C49311;Material principal:Textil;
