;Nombre;Categoria;Subcategoria;Color;Precio;Venta;Tallas;Referencia;Otros
299;ARES;Mujer;BOTAS;negro;99,99€;No;?;58964-C49742;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
300;SORI;Mujer;BOTINES;negro;45,99€;Si;38-40;58790-C47638;Material principal:Sintetico$Altura:4 cm$Material de la suela:PVC$Tipo de tacón:Plataforma$Tipo de cierre:Elástico$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Baja
301;de lona 13991;Mujer;DEPORTIVAS;amarillo;23,99€;Si;38;13991-C49312;Material principal:Textil
302;de lona;Mujer;DEPORTIVAS;verde;23,99€;Si;36-38-40;13991-C49311;Material principal:Textil
303;de lona;Mujer;DEPORTIVAS;rosa;23,99€;Si;36-37-38-40;13991-C49313;Material principal:Textil
304;ARES;Mujer;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;58964-I3332;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
305;50336;Mujer;BOTAS;beige;99,90€;Si;36-37-38-39-40-41;50336-C49846;Material principal:Serraje$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Alta
306;ALMA;Mujer;BOTINES;negro;45,90€;Si;37-39-40;50192-C47638;Material principal:Sintetico$Altura:3 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda
307;50336;Mujer;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;50336-C51437;Material principal:Serraje$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Plano$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Alta
308;58964;Mujer;BOTAS;marron;99,90€;Si;36-37-38-39-40-41;58964-C51437;Material principal:Piel$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
309;MYRA;Mujer;BOTAS;verde;99,90€;Si;36-37-38-39-40-41;50340-C47010;Material principal:Serraje$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
310;alta NAIARA;Mujer;BOTAS;marron;99,90€;Si;36-37-38-39-40;51073-C51437;Material principal:Piel$Altura:7.50 cm$Material de la suela:Sintética$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Alta
311;CATIO;Mujer;BOTINES;beige;89,90€;Si;36-37-38-39-40-41;50331-C49846;Material principal:Piel$Altura:5 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Media
312;51049;Mujer;BOTINES;beige;89,90€;Si;36-37-38-39-40;51049-C51546;Material principal:Piel$Altura:5 cm$Material de la suela:Externa$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Redonda$Tipo de caña:Baja
313;BESSI;Mujer;BOTINES;negro;49,90€;Si;38;50202-C27784;Material principal:Sintetico$Altura:3 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
314;CAMPANI;Mujer;BOTINES;negro;49,90€;Si;38-40;50355-C47638;Material principal:Sintetico$Altura:3.50 cm$Material de la suela:Sintética$Tipo de tacón:Plano$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
315;ANTRAM;Mujer;BOLSO;beige;45,90€;No;?;ANTRAM-C50270;Material principal:Sintetico$Base:14$Altura:32 cm$Ancho:32$Tipo de cierre:Cremallera$Material del interior:Textil
316;JOGGO;Mujer;DEPORTIVAS;gris;39,90€;No;?;69362-C28903;Material principal:Sintetico$Altura:2.50 cm$Material de la suela:De goma$Tipo de tacón:Plano$Tipo de cierre:Cordones$Material del interior:Textil$Material de la planta:FOAM$Tipo de puntera:Redonda
317;SAYI;Mujer;BOTINES;negro;45,90€;No;?;58637-C35442;Material principal:Sintetico$Altura:6 cm$Material de la suela:Caucho$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Sintético$Material de la planta:Sintético$Tipo de puntera:Redonda$Tipo de caña:Media
318;SYRA;Mujer;BOTINES;marron;89,90€;Si;37-39-40;50347-C51437;Material principal:Serraje$Altura:8 cm$Material de la suela:De goma$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Baja
319;CELANDIA;Mujer;BOTAS;cuero;99,90€;No;?;50223-C47011;Material principal:Serraje$Altura:5.50 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
320;MARILYN;Mujer;BOTAS;negro;99,99€;Si;36-37-38-39-40;58134-C49742;Material principal:Piel$Altura:8.50 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Cremallera$Material del interior:Piel$Material de la planta:Piel$Tipo de puntera:Afilada$Tipo de caña:Alta
321;ELA;Mujer;ZUECO;cuero;69,99€;No;?;58133-C49890;Material principal:Piel$Altura:5 cm$Material de la suela:Madera$Tipo de tacón:Bloque$Tipo de cierre:Sin cierre-Abiertos$Material del interior:Piel$Material de la planta:Madera$Tipo de puntera:Afilada
322;PADANG;Mujer;MOCHILA;taupe;35,99€;Si;OS;PADANG-C47562;Material principal:Sintetico$Base:23$Altura:31 cm$Ancho:16$Tipo de cierre:Cremallera$Material del interior:Textil
